logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
14.86627758,8.943205281,11.33461198,0.00291951,0.069081168,FBgn0186425,*D. simulans*,Fat Body
-0.57866826,7.59237298,10.66432482,0.002953229,0.069547854,CG9471,*D. simulans*,Fat Body
-1.001639406,3.971783342,11.02572991,0.002983741,0.069934953,Cyp6t1,*D. simulans*,Fat Body
-0.503286678,2.343172448,10.54575272,0.00309206,0.072133557,CG6254,*D. simulans*,Fat Body
0.711719594,3.663480285,10.52199575,0.003120718,0.072202288,CG6511,*D. simulans*,Fat Body
0.595980857,3.203143011,10.51923457,0.003124068,0.072202288,RasGAP1,*D. simulans*,Fat Body
-0.45444086,5.139067139,10.49552384,0.003152991,0.072533382,CG14130,*D. simulans*,Fat Body
-0.300611908,6.917881654,10.45300551,0.003205586,0.073169428,Nsf2,*D. simulans*,Fat Body
0.665015164,3.2208459,10.44431054,0.003216458,0.073169428,koi,*D. simulans*,Fat Body
-3.351289987,1.263656261,11.28328637,0.003266274,0.073169428,Trissin,*D. simulans*,Fat Body
0.453174836,5.352518555,10.40292736,0.003268755,0.073169428,Lon,*D. simulans*,Fat Body
-0.569768595,5.430413053,10.39784854,0.003275237,0.073169428,GstT3,*D. simulans*,Fat Body
-0.765218938,8.292219263,10.39579942,0.003277856,0.073169428,Tango9,*D. simulans*,Fat Body
-0.304253543,7.519984739,10.38308921,0.003294151,0.073169428,Catsup,*D. simulans*,Fat Body
-0.356588035,6.742093526,10.37703807,0.00330194,0.073169428,CG6567,*D. simulans*,Fat Body
0.946336529,6.100207247,10.3916759,0.003313166,0.073169428,CG30154,*D. simulans*,Fat Body
-0.46194294,4.870927407,10.3437162,0.003345192,0.073549817,ClC-a,*D. simulans*,Fat Body
-0.36020139,5.371698925,10.31471226,0.003383339,0.073952863,CDC50,*D. simulans*,Fat Body
0.716701773,6.166733748,10.30720555,0.003393289,0.073952863,Nnp-1,*D. simulans*,Fat Body
9.623116159,6.468121509,10.46556306,0.003411392,0.074022739,Muc68Ca,*D. simulans*,Fat Body
0.867512378,10.17195036,10.27481199,0.003455249,0.074639646,Apoltp,*D. simulans*,Fat Body
-0.397223388,5.616586108,10.23620789,0.003488978,0.074639646,CG10195,*D. simulans*,Fat Body
-0.413737063,6.875185058,10.23197471,0.003494776,0.074639646,poly,*D. simulans*,Fat Body
2.276771186,2.189295471,10.24178316,0.003513563,0.074639646,Ncc69,*D. simulans*,Fat Body
0.613691829,2.870637122,10.20784678,0.003528018,0.074639646,ftz-f1,*D. simulans*,Fat Body
-0.476073721,5.485162631,10.19751916,0.003542351,0.074639646,alpha-Est3,*D. simulans*,Fat Body
-0.548300601,4.403251386,10.19563717,0.00354497,0.074639646,PGAP5,*D. simulans*,Fat Body
0.754551117,8.414613814,10.17471381,0.003574227,0.074706494,Hsp60A.Hsp60C.Dsim_GD17003,*D. simulans*,Fat Body
1.945507922,2.45491949,10.17187667,0.003578214,0.074706494,CG14696,*D. simulans*,Fat Body
9.408994961,5.355764688,10.31224489,0.00361653,0.075190525,CG5402,*D. simulans*,Fat Body
-0.317257559,12.23366081,10.08318043,0.003705331,0.076483306,Mdh1,*D. simulans*,Fat Body
-0.419952062,4.558729091,10.08033171,0.003709494,0.076483306,Sps2,*D. simulans*,Fat Body
0.502919874,3.146467523,10.01137942,0.003811824,0.078203222,Suv3,*D. simulans*,Fat Body
-0.464685764,10.13549583,10.00305254,0.003824388,0.078203222,yip2,*D. simulans*,Fat Body
-0.397710033,4.764609936,9.991048165,0.003842579,0.078253177,mri,*D. simulans*,Fat Body
-0.349983417,7.297636621,9.955219247,0.003897434,0.079046328,deltaCOP,*D. simulans*,Fat Body
0.596858051,3.174479154,9.917407826,0.003956248,0.079912985,ValRS-m,*D. simulans*,Fat Body
-0.342052006,6.4631754,9.878045329,0.004018498,0.080671009,CG10778,*D. simulans*,Fat Body
10.41046637,3.620365139,10.42622427,0.004026245,0.080671009,FBgn0269675,*D. simulans*,Fat Body
0.507071411,5.856225436,9.853799515,0.004057371,0.080787906,Nup153,*D. simulans*,Fat Body
-0.368324183,7.563373349,9.847285602,0.004067884,0.080787906,Rab1,*D. simulans*,Fat Body
7.261683389,3.574262512,9.997671793,0.004080854,0.080787906,CG8708,*D. simulans*,Fat Body
-0.388376364,7.544217217,9.816637491,0.004117747,0.080930496,Usp14,*D. simulans*,Fat Body
0.554337755,6.916439305,9.814877019,0.004120631,0.080930496,Prp8,*D. simulans*,Fat Body
0.709700907,7.020434901,9.781515826,0.004175705,0.081528577,r,*D. simulans*,Fat Body
-0.379119476,6.745673271,9.770252807,0.004194478,0.081528577,sip3,*D. simulans*,Fat Body
-0.284487439,7.036647426,9.766767948,0.004200305,0.081528577,Hrd3,*D. simulans*,Fat Body
-0.454508453,6.158195642,9.73672322,0.00425091,0.081819903,Rab5,*D. simulans*,Fat Body
-0.312514125,9.058373434,9.73097198,0.004260672,0.081819903,Spp,*D. simulans*,Fat Body
1.325093138,5.522751232,9.733005137,0.004278554,0.081819903,Cyp4d20,*D. simulans*,Fat Body
0.585485505,5.001833915,9.718937439,0.004281178,0.081819903,upSET,*D. simulans*,Fat Body
-0.343015524,12.82027579,9.666030923,0.004372608,0.083247088,Gapdh1.Gapdh2.Dsim_GD10219,*D. simulans*,Fat Body
-0.580714982,8.742955577,9.628392019,0.004438943,0.083748901,Acbp2,*D. simulans*,Fat Body
-0.331425497,5.016202598,9.624429768,0.00444599,0.083748901,Ublcp1,*D. simulans*,Fat Body
-0.332841741,4.737282641,9.622442233,0.004449529,0.083748901,CG34125,*D. simulans*,Fat Body
-0.337880929,9.069397402,9.610712805,0.004470478,0.083825679,Arc42,*D. simulans*,Fat Body
0.58950044,8.288518669,9.561406779,0.004559718,0.084888397,LanB2,*D. simulans*,Fat Body
-0.50113697,6.484737131,9.560530935,0.004561321,0.084888397,kud,*D. simulans*,Fat Body
-0.487283519,10.81761425,9.526987938,0.004623159,0.085718204,CG5885,*D. simulans*,Fat Body
-0.733268193,7.024033115,9.504070767,0.004665932,0.086172858,Galk,*D. simulans*,Fat Body
-0.439379921,10.51740937,9.495326687,0.004682365,0.086172858,GstE12,*D. simulans*,Fat Body
-0.996774789,2.148545254,9.478550894,0.004714069,0.086436188,CG31176,*D. simulans*,Fat Body
