"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9577","Haemocytes","Control",-0.33320345128874,5.30388475372178,0.906756040345117,0.356737036539688,0.503565003257105,-0.233841412234045,5.30388475372178,0.446683681055998,0.51451841065994,0.693104210164075
"CG9577","Haemocytes","Response",0.326684990533484,5.30388475372178,0.434128821236323,0.520400006582337,0.797525523275633,0.700250796256969,5.30388475372178,1.98731127553624,0.179920122858579,0.868568266367316
"CG9577","Haemocytes","Wasp",-0.00651846075525534,5.30388475372178,0.00034406683025967,0.985456229189032,0.995205973723799,0.466409384022924,5.30388475372178,1.74880191065069,0.206712058856264,0.330426094080847
"CG9578","Haemocytes","Control",0.41894762024671,4.72362658372015,8.08331452184507,0.0127689533291315,0.0417324837739583,0.163817810160796,4.72362658372015,1.24546665823832,0.28275461965087,0.473501783701061
"CG9578","Haemocytes","Response",-0.325746324904011,4.72362658372015,2.44411562829465,0.139739885436126,0.415751774210696,-0.040975698663552,4.72362658372015,0.0388273135560624,0.846554041751138,0.962364552971254
"CG9578","Haemocytes","Wasp",0.0932012953426993,4.72362658372015,0.399396129072979,0.53733752576632,0.793259710820001,0.122842111497244,4.72362658372015,0.696011295614065,0.417795496134861,0.542157747136874
"CG9590","Haemocytes","Control",1.50913035892122,5.52673967193819,86.1238007223563,1.90424589467073e-07,6.89694445945877e-06,-0.627117188190974,5.52673967193819,15.8994462499072,0.00128846624828347,0.013786327504453
"CG9590","Haemocytes","Response",-0.086105453406937,5.52673967193819,0.146213841318052,0.707782140983186,0.893952064451421,0.0848893658251656,5.52673967193819,0.146786386672851,0.70723965619406,0.926917883353459
"CG9590","Haemocytes","Wasp",1.42302490551428,5.52673967193819,77.2729903905692,3.71690600296953e-07,4.19455230827888e-05,-0.542227822365808,5.52673967193819,11.9097182662368,0.00377168298696288,0.0206498564139999
"CG9609","Haemocytes","Control",-0.213315140365519,4.64972556925202,1.4380095887933,0.24988329832172,0.393825634492701,-0.194987108979211,4.64972556925202,1.20302734527805,0.29077769098439,0.482951034814478
"CG9609","Haemocytes","Response",0.526942730030091,4.64972556925202,4.38476453672833,0.0544660830488435,0.224190231254298,0.55154584248995,4.64972556925202,4.81369835266011,0.0451606902101449,0.868568266367316
